2000 0.1
-2.84999 0.15001 -2.84999
-2.69946 0.15001 -1.57273
-2.84999 0.15001 -0.225643
-2.35603 0.15001 -1.23523
-2.69238 0.15001 -0.335976
-2.84999 0.15001 0.963756
-1.83747 0.15001 2.38477
-1.81999 0.338707 2.09662
-2.01041 0.15001 2.08358
-1.68034 0.15001 2.84999
-2.84999 0.15001 -0.391905
-2.36021 0.15001 -1.77514
-2.48342 0.15001 -2.84999
-2.84999 0.15001 -1.50193
-1.9311 0.15001 2.57498
-2.24113 0.15001 1.16078
-2.6285 0.15001 2.56184
-2.84999 0.15001 2.65828
-0.860243 0.31102 -0.374641
-2.84999 0.15001 2.84999
-2.84999 0.15001 0.282902
-2.84999 0.15001 0.450305
-2.4146 0.15001 -0.376011
-1.9314 0.15001 -0.398925
-2.84999 0.15001 -0.0561735
-2.84999 0.15001 2.4817
-1.31738 0.15001 1.77144
-0.526406 0.296059 -0.513663
-1.47043 0.15001 2.06252
-0.638127 0.15001 2.84999
-2.84066 0.319522 -2.84991
-2.84999 0.15001 -2.03159
-2.84999 0.15001 -0.909532
-2.66782 0.15001 1.97661
-1.31151 0.293156 1.51472
-2.18871 0.190092 1.50871
-1.52706 0.294202 1.80914
-1.96462 0.15001 2.23972
-1.45669 0.15001 2.23292
-2.5391 0.15001 2.7116
-2.84999 0.15001 -2.36468
-2.6896 0.15001 0.181497
-2.17382 0.15001 2.07355
-2.33906 0.15001 -0.714948
-2.01745 0.315946 0.845535
-2.1051 0.15001 -0.457312
-2.84999 0.15001 1.81226
-2.39735 0.15001 2.19536
-1.76869 0.289815 1.02771
-2.21719 0.15001 2.84999
-2.72415 0.288708 -1.30531
-2.26787 0.15001 -2.23903
-1.23038 0.279737 -1.14742
-1.20612 0.307464 -0.111189
-0.967539 0.429514 1.53815
-2.32712 0.15001 2.04133
-2.82951 0.302487 -1.08228
-1.85367 0.15001 2.84999
-2.32578 0.15001 2.72454
-2.08877 0.428973 0.707443
-2.20276 0.15001 0.0491333
-2.6067 0.321723 2.0622
-2.84999 0.15001 0.791016
-2.04449 0.313459 -1.24183
-1.96298 0.283459 0.628004
-2.24516 0.15001 1.69115
-2.81055 0.307513 -0.492484
-1.96366 0.15001 2.72829
-0.987947 0.15001 2.84999
-1.3494 0.15001 2.36743
-1.91123 0.15001 -2.23513
-2.21476 0.15001 -1.35555
-1.69028 0.15001 1.45591
-2.54114 0.15001 -1.31113
-2.69817 0.15001 1.77631
-1.78632 0.15001 2.69845
-1.5231 0.31927 1.61746
-2.84999 0.15001 1.31309
-2.41919 0.15001 1.68646
-2.82125 0.323658 0.265018
-2.24999 0.295396 -1.62301
-0.650863 0.299574 -1.47284
-2.37397 0.301109 -0.988258
-1.39249 0.306106 1.33579
-2.84999 0.15001 2.14281
-1.25578 0.353538 1.00309
-2.44445 0.15001 2.84999
-2.39557 0.336573 2.04076
-1.92175 0.310816 -0.336364
-2.33425 0.307143 0.34374
-2.68831 0.15001 -2.4468
-1.08704 0.313531 0.685185
-2.68389 0.15001 0.0161317
-1.83964 0.15001 2.05938
-2.35844 0.15001 -0.0544003
-2.16313 0.15001 -0.809612
-2.26146 0.15001 1.85436
-1.79028 0.15001 2.22617
-1.44587 0.15001 1.87286
-2.82683 0.303227 -0.0430441
-2.21264 0.15001 -2.70389
-1.55273 0.15001 -1.60848
-2.84999 0.15001 -0.560437
-2.84999 0.15001 -1.29924
-2.84999 0.15001 1.47722
-2.07596 0.15001 1.6109
-1.01313 0.15001 1.63018
-1.5337 0.15001 2.53539
0.0206404 0.15001 2.84999
-1.61904 0.15001 2.23034
-2.36539 0.15001 -2.39118
-2.72039 0.426228 -1.76729
-1.76059 0.15001 1.13038
-1.17266 0.15001 1.16412
-2.42411 0.15001 1.91809
-1.19644 0.15001 1.50764
-2.34386 0.15001 1.51111
-1.6733 0.15001 2.0713
-2.27267 0.15001 2.32793
-1.60867 0.15001 2.69839
-2.1197 0.15001 -2.84999
-1.60649 0.15001 -2.84999
-2.21515 0.299535 -2.82961
-0.844175 0.15001 1.66995
-1.20704 0.30891 1.35891
-2.84999 0.15001 1.13656
-1.03182 0.431549 1.91563
-1.25303 0.285254 2.41443
-0.996361 0.15001 2.34022
-1.32237 0.15001 2.84999
-2.1731 0.15001 -2.08988
-1.3883 0.299027 -0.803676
-2.14204 0.15001 -0.640078
-1.89267 0.15001 1.75021
-1.27453 0.294226 1.18323
-2.32149 0.408607 1.46227
-1.47951 0.15001 1.70745
-2.68956 0.306706 0.424905
-1.13256 0.276527 2.23161
-2.13726 0.15001 2.48558
-1.64183 0.15001 -2.0706
-2.36353 0.15001 -1.60032
-2.38424 0.15001 0.851764
-2.44724 0.15001 2.57903
-1.17293 0.15001 1.68705
-2.84999 0.15001 2.31122
-1.39832 0.430522 1.82024
-1.29974 0.292444 2.0925
-1.47839 0.309401 2.1644
-1.263 0.15001 2.52118
-2.57893 0.241645 -2.18621
-2.52944 0.15001 -1.65535
-2.70855 0.427047 -1.5875
-2.84999 0.15001 -2.19905
-1.05947 0.452297 1.00321
-1.36577 0.296343 1.69944
-1.44501 0.527978 2.14074
-1.29067 0.428295 1.97337
-1.17162 0.413713 2.12003
0.329766 0.15001 2.37731
-2.84999 0.15001 -1.6889
-1.76514 0.311386 0.0269954
-2.06486 0.15001 -0.280342
-1.12257 0.412005 1.21798
-0.832865 0.429742 1.67146
-2.57869 0.15001 1.66031
-0.894749 0.527097 1.81361
-1.9327 0.289813 -1.63594
-2.31875 0.15001 -0.879498
-2.62852 0.15001 2.84999
-2.70324 0.15001 1.21251
-2.67032 0.15001 -1.92935
-1.54536 0.15001 1.33946
-2.49576 0.15001 -0.78201
-1.76559 0.15001 1.60317
-2.02236 0.15001 -1.10953
-0.805746 0.308701 -0.977536
-2.05729 0.15001 2.84999
-2.63042 0.307331 0.579624
-1.25457 0.15001 2.69585
-2.84999 0.15001 1.97701
-2.83422 0.307421 1.01762
-2.52955 0.398048 1.81799
-0.927685 0.476518 1.15234
-1.7682 0.15001 1.89754
-2.68583 0.15001 2.3919
0.186414 0.15001 2.76125
-1.19569 0.440177 1.79472
-1.46053 0.306093 0.329638
-1.48825 0.15001 2.84999
-2.84999 0.15001 0.618818
