8000 0.1
-1.40335 0.15001 -1.3554
-1.12499 0.15001 -0.624913
-1.1371 0.15001 -0.364595
-0.733242 0.15001 -0.0616998
-0.609683 0.15001 0.193923
-0.728204 0.15001 0.308723
-0.722835 0.15001 0.490585
-0.923288 0.15001 0.882205
-1.31232 0.15001 1.42957
-1.54066 0.15001 1.93816
-1.72302 0.15001 -1.69282
-1.58229 0.15001 -1.29748
-1.32191 0.15001 -0.310245
-1.34422 0.15001 -0.105672
-1.36422 0.15001 0.0824966
-1.42187 0.15001 0.284053
-1.61369 0.15001 0.712614
-1.65125 0.15001 0.916273
-1.79725 0.15001 1.64892
-1.78674 0.15001 2.41838
-1.59205 0.15001 -1.56102
-1.43576 0.15001 -1.174
-1.26428 0.15001 -0.495385
-1.17363 0.15001 -0.184492
-1.18628 0.15001 0.00396818
-1.24077 0.15001 0.223492
-1.42115 0.15001 0.724901
-1.49203 0.15001 1.05347
-1.92574 0.15001 2.03084
-2.12203 0.15001 2.56819
-1.48722 0.258105 -1.46403
-0.750632 0.15001 -0.47489
-0.676209 0.15001 -0.23887
-0.595745 0.158098 0.0206373
-0.563307 0.268528 0.127205
-0.453205 0.15001 0.393801
-1.17452 0.15001 0.404673
-1.32309 0.15001 0.913595
-1.60462 0.15001 1.65682
-1.48359 0.15001 2.229
-1.25257 0.15001 -1.21344
-0.927014 0.15001 -0.613885
-0.636581 0.209893 -0.384129
-0.607182 0.232091 -0.10812
-0.726126 0.223683 0.0981245
-0.598004 0.193925 0.395244
-0.658942 0.15001 0.662431
-1.3251 0.15001 1.17994
-1.73806 0.16243 1.99686
-1.99027 0.15001 2.42426
-1.31696 0.291161 -1.30289
-0.612878 0.293619 -0.510286
-0.583912 0.282326 -0.251171
-0.638897 0.331362 0.0138532
-0.602788 0.279648 0.276603
-0.731186 0.301419 0.38649
-0.648055 0.280279 0.532735
-1.10086 0.162809 0.959259
-1.40404 0.15001 1.72045
-1.67597 0.190769 2.25983
-0.710245 0.238133 -0.646058
-0.762586 0.315824 -0.459977
-0.744481 0.29068 -0.291016
-0.734595 0.32185 -0.113344
-0.672775 0.375883 0.176337
-0.59172 0.359563 0.42065
-0.731562 0.305941 0.663492
-0.880934 0.15001 1.06955
-1.09579 0.15001 1.42145
-1.32683 0.15001 2.08162
-0.60627 0.37729 -0.646105
-0.628981 0.411791 -0.396107
-0.662359 0.430561 -0.229515
-0.60649 0.486331 -0.0159788
-0.486297 0.356512 0.206687
-0.563547 0.43503 0.303165
-0.541417 0.396522 0.567621
-0.612053 0.297543 0.804871
-0.848418 0.15001 1.3592
-1.37886 0.272266 1.87558
-0.529566 0.498433 -0.542343
-0.383185 0.519321 -0.286828
-0.477532 0.524525 -0.153472
-0.567595 0.501724 0.158406
-0.475121 0.571755 0.288836
-0.540015 0.514913 0.45112
-0.626295 0.441467 0.688534
-0.524675 0.424904 0.881051
-0.746428 0.178871 1.20057
-0.879167 0.210972 1.61767
-0.41739 0.592785 -0.428266
-0.320444 0.654944 -0.246253
-0.365588 0.641042 -0.0749355
-0.440556 0.618256 0.106949
-0.33421 0.693714 0.307216
-0.383895 0.625192 0.471028
-0.445552 0.531663 0.749137
-0.431496 0.539363 0.961704
-0.632481 0.320724 1.16581
-0.7678 0.286939 1.4527
-0.641618 0.15001 -1.06862
-0.243506 0.15001 -0.241148
-0.29847 0.15001 -0.096431
-0.318921 0.15057 0.0489018
-0.323811 0.151766 0.194532
-0.270358 0.15001 0.47675
-0.324486 0.15001 0.680142
-0.213971 0.15001 0.781044
-0.26006 0.15001 0.92575
-0.780994 0.15001 1.79486
-1.34998 0.15001 -1.5444
-0.840645 0.15001 -0.779908
-0.527961 0.15001 -0.194517
-0.465758 0.15001 0.0926622
-0.468197 0.187222 0.242558
-0.40226 0.151185 0.536663
-0.478748 0.15001 0.660082
-0.376118 0.15001 0.826903
-0.457942 0.15001 0.96138
-0.868569 0.15001 2.5504
-1.22332 0.15001 -1.39951
-0.604525 0.15001 -0.555116
-0.503094 0.156209 -0.338696
-0.449664 0.15001 -0.0617255
-0.405418 0.270376 0.116896
-0.318783 0.171866 0.337477
-0.561241 0.15001 0.537183
-1.07491 0.15001 1.16534
-1.24049 0.15001 1.88242
-1.17612 0.15001 2.67749
-0.572697 0.15001 -0.73285
-0.358193 0.15001 -0.359397
-0.38618 0.15001 -0.213301
-0.363525 0.275987 -0.0294152
-0.358898 0.29578 0.249905
-0.358398 0.269074 0.441338
-0.425035 0.301422 0.595769
-0.419542 0.253231 0.732028
-0.351405 0.263876 0.959118
-0.717032 0.15001 2.26092
-0.683348 0.15001 -0.882287
-0.475793 0.185777 -0.486651
-0.520814 0.306092 -0.386385
-0.455198 0.276273 -0.14817
-0.501205 0.277967 -0.0071843
-0.468972 0.295678 0.346447
-0.563329 0.272785 0.658392
-0.535787 0.15001 0.803359
-1.05874 0.15001 1.66286
-1.09358 0.15001 2.49993
-0.504335 0.249827 -0.629394
-0.383021 0.283978 -0.429603
-0.419837 0.2782 -0.284884
-0.425515 0.408548 -0.0632159
-0.49259 0.404135 0.0653891
-0.499184 0.265057 0.487048
-0.327514 0.355401 0.689803
-0.460825 0.28579 0.864032
-0.65859 0.15001 1.48151
-0.901469 0.15001 2.35509
-0.473911 0.278096 -0.789736
-0.477704 0.354338 -0.524794
-0.506247 0.410587 -0.2683
-0.561747 0.378868 -0.12082
-0.411844 0.42989 0.313121
-0.440613 0.399717 0.456332
-0.480375 0.38619 0.722394
-0.507276 0.295783 1.02208
-0.324579 0.15001 1.0739
-0.772807 0.15001 2.03516
-0.432128 0.40059 -0.669203
-0.459145 0.444723 -0.407945
-0.379355 0.39556 -0.197329
-0.362723 0.51172 0.017802
-0.404703 0.475098 0.167035
-0.331275 0.491472 0.425796
-0.400399 0.464491 0.604341
-0.365615 0.410869 0.832435
-0.468377 0.174654 1.17961
-0.579745 0.15001 1.70008
-0.281384 0.51694 -0.424958
-0.226654 0.525633 -0.287574
-0.303129 0.514736 -0.149518
-0.289519 0.577775 0.143373
-0.317383 0.54179 0.28654
-0.257022 0.523321 0.5461
-0.284655 0.496356 0.72694
-0.204621 0.502623 0.874773
-0.35026 0.360993 1.0819
-0.507298 0.245103 1.46236
-0.188813 0.649775 -0.367083
-0.184262 0.618372 -0.172114
-0.229608 0.5727 -0.0283035
-0.195953 0.69791 0.124159
-0.193061 0.636331 0.270476
-0.227794 0.60671 0.418454
-0.340396 0.616738 0.638246
-0.318399 0.59891 0.842342
-0.243235 0.507713 1.03592
-0.410098 0.317131 1.30803
-0.334697 0.15001 -1.0216
-0.0908217 0.15001 -0.281596
-0.144391 0.157739 -0.127291
-0.161553 0.15001 0.0415542
-0.166394 0.15001 0.191926
-0.162378 0.15001 0.342554
-0.123489 0.15001 0.483592
-0.189213 0.15001 0.612292
-0.0901194 0.15001 0.860137
-0.129447 0.15001 1.00566
-0.286099 0.15001 -1.20238
-0.177434 0.15001 -0.531891
-0.0739379 0.248633 -0.037717
-0.082777 0.253221 0.120436
-0.077027 0.252665 0.275145
-0.209693 0.266648 0.421472
-0.0527698 0.223174 0.592411
-0.0775163 0.15001 0.710035
0.0187846 0.15001 0.951312
-0.199498 0.15001 2.31106
-0.470107 0.15001 -1.14982
-0.322509 0.158057 -0.503118
-0.162274 0.266994 -0.235874
-0.229021 0.251762 -0.0316009
-0.247634 0.265943 0.12569
-0.223461 0.265543 0.272672
-0.292961 0.250403 0.580234
-0.30031 0.270439 0.815893
-0.403872 0.15001 1.58657
-0.561199 0.15001 2.68625
-0.161856 0.15001 -0.690131
-0.210319 0.15001 -0.387641
-0.156755 0.337317 -0.118591
-0.157178 0.342637 0.0413061
-0.150375 0.361476 0.199424
-0.124525 0.364384 0.350422
-0.161081 0.296437 0.548737
-0.201997 0.268082 0.693311
-0.180843 0.26537 0.901139
-0.298121 0.15001 2.02475
