7000 0.05
-2.31884 0.150317 -2.15215
-2.68714 0.150332 -2.61731
-2.68756 0.150332 -2.61768
-2.6875 0.150332 -2.61764
-2.68756 0.150332 -2.61768
-2.68725 0.150332 -2.61746
-2.68749 0.150332 -2.61763
-2.68725 0.150332 -2.61746
-2.68657 0.150332 -2.61697
-2.68703 0.150332 -2.6173
-2.68685 0.150332 -2.61717
-2.68646 0.150332 -2.61688
-2.68627 0.150332 -2.61675
-2.68646 0.150332 -2.61688
-2.68627 0.150332 -2.61675
-2.68754 0.150332 -2.61767
-2.68664 0.150332 -2.61702
-2.68637 0.150332 -2.61682
-2.68629 0.150332 -2.61676
-2.68706 0.150332 -2.61732
-2.68625 0.150332 -2.61673
-2.68706 0.150332 -2.61732
-2.68631 0.150332 -2.61678
-2.79656 0.150318 -0.624072
-2.81676 0.150324 -0.698714
-2.79514 0.150318 -0.618156
-2.79213 0.150318 -0.599332
-2.79636 0.150318 -0.623074
-2.79213 0.150318 -0.599332
-2.80987 0.15032 -0.668261
-2.79273 0.150318 -0.605427
-2.80041 0.153522 -0.536839
-2.79969 0.151911 -0.537182
-2.80898 0.150319 -0.663704
-2.79937 0.151813 -0.538023
-2.80898 0.150319 -0.663704
-2.82502 0.15033 -1.02792
-2.79189 0.150319 -0.593379
-2.7901 0.15032 -0.575717
-2.7929 0.150318 -0.602327
-2.7935 0.150321 -0.557352
-2.79311 0.150318 -0.604283
-2.7935 0.150321 -0.557352
-2.80493 0.154123 -0.525204
-2.8257 0.155905 -0.465511
-2.82033 0.156817 -0.491411
-2.80964 0.15612 -0.516366
-2.83453 0.150407 0.914519
-2.80985 0.15614 -0.515843
-2.83453 0.150407 0.914525
-2.80687 0.150348 1.34855
-2.79339 0.165949 1.70787
-2.80782 0.162903 1.63132
-2.80773 0.162919 1.63149
-2.79029 0.166341 1.67153
-2.80791 0.162876 1.63105
-2.79029 0.166341 1.67153
-2.77381 0.155297 1.81758
-2.79254 0.1646 1.72805
-2.79399 0.165585 1.71659
-2.79287 0.165957 1.70737
-2.79264 0.165395 1.72047
-2.79284 0.165973 1.70698
-2.79264 0.165395 1.72047
-2.79264 0.15939 1.76871
-2.79908 0.162748 1.64276
-2.79483 0.162597 1.74652
-2.79528 0.160522 1.76279
-2.7924 0.166043 1.70496
-2.7946 0.160343 1.7636
-2.36246 0.150323 -2.13433
-2.34412 0.15032 -2.14239
-2.68749 0.150332 -2.61763
-2.31075 0.150315 -2.15828
-2.6875 0.150332 -2.61764
-2.6875 0.150332 -2.61764
-2.31871 0.150316 -2.1537
-2.6875 0.150332 -2.61764
-2.68756 0.150332 -2.61768
-2.68659 0.150332 -2.61698
-2.68724 0.150332 -2.61745
-2.68685 0.150332 -2.61717
-2.68652 0.150332 -2.61693
-2.68743 0.150332 -2.61759
-2.68652 0.150332 -2.61693
-2.8313 0.150273 -2.64029
-2.6865 0.150332 -2.61692
-2.6867 0.150332 -2.61706
-2.68637 0.150332 -2.61682
-2.68629 0.150332 -2.61676
-2.68746 0.150332 -2.61761
-2.68629 0.150332 -2.61676
-2.68707 0.150332 -2.61733
-2.804 0.150318 -0.64805
-2.68687 0.150332 -2.61719
-2.81676 0.150324 -0.698714
-2.79974 0.151924 -0.537071
-2.68694 0.150332 -2.61723
-2.79974 0.151924 -0.537071
-2.79774 0.151322 -0.541462
-2.80944 0.150319 -0.666067
-2.80813 0.150583 -0.661567
-2.80041 0.153522 -0.536839
-2.79749 0.151235 -0.542493
-2.81124 0.15032 -0.672559
-2.79749 0.151235 -0.542493
-2.79054 0.15032 -0.573524
-2.81509 0.150322 -0.685955
-2.79284 0.150318 -0.600519
-2.7901 0.15032 -0.575717
-2.79648 0.150614 -0.543825
-2.79191 0.150318 -0.594645
-2.79648 0.150614 -0.543825
-2.8304 0.152625 -0.342537
-2.78509 0.150406 1.28644
-2.79367 0.16142 1.65402
-2.82033 0.156817 -0.491411
-2.84401 0.157257 1.58142
-2.84797 0.156029 1.56749
-2.84401 0.157257 1.58142
-2.79405 0.165695 1.71287
-2.79076 0.162358 1.66486
-2.79565 0.161283 1.6494
-2.80782 0.162903 1.63132
-2.79582 0.162158 1.75034
-2.8063 0.163209 1.63275
-2.79582 0.162158 1.75034
-2.81348 0.152658 1.97968
-2.79227 0.165192 1.72301
-2.79499 0.162263 1.74899
-2.79399 0.165585 1.71659
-2.79631 0.160938 1.76049
-2.79416 0.164042 1.73421
-2.79631 0.160938 1.76049
-2.78221 0.15292 1.90791
-2.79003 0.166364 1.68387
-2.81395 0.15266 1.98135
-2.79483 0.162597 1.74652
-2.8125 0.152649 1.97679
-2.79215 0.152614 1.92596
-2.36025 0.150322 -2.13487
-2.31313 0.150315 -2.15729
-2.68755 0.150332 -2.61767
-2.68756 0.150332 -2.61768
-2.31075 0.150315 -2.15828
-2.68755 0.150332 -2.61768
-2.68749 0.150332 -2.61763
-2.68755 0.150332 -2.61768
-2.68713 0.150332 -2.61738
-2.68664 0.150332 -2.61702
-2.68622 0.150332 -2.61671
-2.68724 0.150332 -2.61745
-2.68659 0.150332 -2.61698
-2.68649 0.150332 -2.61691
-2.68659 0.150332 -2.61698
-2.29077 0.150262 -2.22278
-2.68654 0.150332 -2.61695
-2.6868 0.150332 -2.61714
-2.6867 0.150332 -2.61706
-2.68686 0.150332 -2.61718
-2.6868 0.150332 -2.61714
-2.68686 0.150332 -2.61718
-2.68692 0.150332 -2.61722
-2.79069 0.15032 -0.573012
-2.68691 0.150332 -2.61722
-2.68687 0.150332 -2.61719
-2.793 0.150318 -0.604956
-2.68688 0.150332 -2.61719
-2.793 0.150318 -0.604956
-2.82132 0.150331 -0.956104
-2.82591 0.195806 -1.1442
-2.79256 0.15032 -0.56706
