1000 0.1
-1.68204 0.15001 -0.768753
-1.53384 0.15001 -0.834123
-2.24119 0.150257 -0.590697
-1.98365 0.15001 -0.673118
-1.97899 0.15001 -0.697662
-2.84999 0.15001 0.66963
-1.97912 0.15001 -0.697789
-2.84999 0.15001 0.66963
-2.49247 0.15001 0.235402
-2.84271 0.150259 0.584844
-2.81417 0.150282 0.956326
-2.80864 0.150324 1.05274
-2.85982 0.150336 1.21091
-2.80936 0.150325 1.05479
-2.85982 0.150336 1.21091
-2.77056 0.150324 1.10208
-2.80114 0.150335 1.74566
-2.86133 0.150335 1.3287
-2.86131 0.150335 1.32894
-2.82095 0.150335 1.52374
-2.86131 0.150335 1.32893
-2.82095 0.150335 1.52374
-2.5423 0.150274 1.345
-2.84606 0.150591 2.21844
-2.8499 0.150332 1.90619
-2.81013 0.15033 1.79419
-2.85326 0.150337 2.06823
-2.80998 0.15033 1.79367
-2.85326 0.150337 2.06823
-2.75785 0.150336 1.6969
-2.84828 0.15047 2.75988
-2.8465 0.150714 2.22696
-2.84767 0.150355 2.16201
-2.84782 0.150354 2.16056
-2.84779 0.150354 2.16093
-2.84782 0.150354 2.16056
-2.52124 0.150307 1.783
-2.85015 0.150452 2.80737
-2.85703 0.157004 2.42782
-2.8548 0.15467 2.33448
-2.84987 0.150455 2.80057
-2.85477 0.15464 2.3338
-2.84987 0.150455 2.80058
-2.85532 0.155117 2.3451
-2.84671 0.150483 2.71094
-2.84822 0.15047 2.75824
-2.85015 0.150452 2.80738
-2.85015 0.150452 2.80737
-2.85015 0.150452 2.80738
-2.85015 0.150452 2.80737
-2.85437 0.15633 2.49999
-2.85143 0.154814 2.54852
-2.84801 0.150472 2.75241
-2.84962 0.150458 2.79423
-2.8469 0.150478 2.71838
-2.84963 0.150457 2.79445
-2.8469 0.150478 2.71838
-2.84905 0.150463 2.78015
-2.85015 0.150452 2.80738
-2.8492 0.150462 2.7838
-2.84895 0.150464 2.77737
-2.85015 0.150452 2.80737
-2.84895 0.150464 2.77739
-2.85015 0.150452 2.80737
-2.84762 0.150474 2.74093
-2.85015 0.150452 2.80738
-2.85011 0.150452 2.80628
-2.85015 0.150452 2.80738
-2.85015 0.150452 2.80738
-2.85015 0.150452 2.80738
-1.79165 0.150263 -0.7771
-1.53166 0.15001 -0.776119
-2.06118 0.15001 -0.604873
-2.00224 0.150219 -0.633097
-1.98365 0.15001 -0.673118
-2.86583 0.150278 0.510872
-2.01117 0.15001 -0.641268
-2.86583 0.150278 0.510872
-2.81807 0.15001 0.567511
-2.54076 0.15001 0.293158
-2.84123 0.150222 0.629047
-2.81417 0.150282 0.956326
-2.8501 0.150329 1.15184
-2.85544 0.150223 0.765949
-2.8501 0.150329 1.15184
